UserID,Date,TransactionType,Amount
13,2023-09-07,Loan Payment,526.6
606,2024-01-18,Salary,559.19
533,2025-01-21,Investment,684.73
810,2024-12-06,Salary,861.17
101,2023-08-25,Investment,478.09
496,2024-05-09,Groceries,833.52
768,2023-09-11,Shopping,347.56
13,2025-01-17,Groceries,455.67
741,2024-11-19,Loan Payment,986.48
649,2024-08-17,Salary,313.51
166,2025-02-25,Shopping,751.25
100,2023-10-09,Loan Payment,892.06
855,2023-05-24,Loan Payment,470.47
776,2023-12-31,Investment,369.81
274,2024-02-29,Shopping,822.55
149,2023-03-28,Investment,89.39
488,2024-04-05,Salary,401.41
227,2023-05-09,Loan Payment,680.96
313,2025-01-16,Salary,512.28
44,2024-03-23,Loan Payment,199.34
586,2024-09-19,Loan Payment,42.4
982,2023-08-05,Salary,159.86
868,2023-07-13,Groceries,697.71
884,2024-11-21,Loan Payment,417.35
171,2023-11-14,Salary,506.74
230,2024-11-18,Salary,664.14
852,2023-07-31,Investment,240.24
604,2024-07-22,Groceries,284.23
972,2024-04-25,Shopping,271.06
175,2023-11-18,Salary,540.73
674,2025-02-10,Loan Payment,794.26
954,2025-03-04,Investment,277.33
825,2024-06-05,Investment,549.43
623,2023-09-27,Shopping,515.27
457,2023-10-01,Shopping,611.36
504,2024-01-03,Loan Payment,845.97
214,2024-03-11,Shopping,381.25
489,2024-04-05,Loan Payment,446.11
610,2024-07-21,Groceries,1001.44
471,2023-07-03,Investment,467.73
218,2024-01-21,Investment,661.13
540,2024-07-30,Salary,515.49
529,2023-10-23,Shopping,730.5
441,2023-08-30,Groceries,934.36
25,2023-10-04,Groceries,158.86
461,2024-07-10,Loan Payment,218.18
456,2024-03-12,Investment,974.16
491,2023-05-27,Salary,195.47
49,2025-01-22,Investment,872.96
569,2025-01-22,Salary,230.36
686,2025-01-08,Groceries,634.88
596,2024-11-17,Investment,559.55
361,2025-02-01,Shopping,469.78
422,2024-05-03,Shopping,336.84
738,2024-01-08,Loan Payment,696.4
446,2025-02-12,Groceries,555.4
590,2023-10-18,Groceries,448.95
3,2023-09-08,Loan Payment,105.78
520,2023-09-18,Investment,590.49
721,2023-11-28,Shopping,706.39
333,2024-03-30,Groceries,371.23
582,2025-02-06,Salary,676.57
272,2024-06-22,Investment,20.56
601,2024-04-29,Groceries,638.65
19,2024-02-29,Groceries,627.77
247,2024-09-30,Loan Payment,505.74
